tel://(951) 304-2489/	404	not found			(951) 304-2489		2		2			00:00.000	utf-8
tel://(951) 768-8981/	404	not found			(951) 768-8981		2		1			00:00.000	utf-8
tel://(951) 943-6100/	404	not found			(951) 943-6100		2		1			00:00.000	utf-8
tel://(951) 826-5991/	404	not found			(951) 826-5991		2		1			00:00.000	utf-8
tel://(951) 487-7330/	404	not found			(951) 487-7330		2		1			00:00.000	utf-8
tel://(951) 694-6444/	404	not found			(951) 694-6444		2		2			00:00.000	utf-8
tel://(951) 677-7751/	404	not found			(951) 677-7751		2		2			00:00.000	utf-8
tel://(951) 955-1010/	404	not found			(951) 955-1010		2		1			00:00.000	utf-8
tel://951-955-1020/	404	not found			951-955-1020		2		2			00:00.000	utf-8
tel://(951) 955-1030/	404	not found			(951) 955-1030		2		1			00:00.000	utf-8
tel://(951) 955-1040/	404	not found			(951) 955-1040		2		1			00:00.000	utf-8
http://wrc-rca.org/2016_BD/161003/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.351	utf-8
http://www.rctlma.org/epd/index.html	404	not found			Riverside County Environmental Programs Department		3		1	Microsoft-IIS/7.5		00:00.031	utf-8
http://wrc-rca.org/2016_BD/160502/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.053	utf-8
http://wrc-rca.org/library.asp?sort=132	404	not found			 		2		2	Apache/2.2.15 (CentOS)		00:06.739	utf-8
http://wrc-rca.org/2016_BD/160606/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:04.867	utf-8
http://wrc-rca.org/rcamaps/Habitat_Cons_Sum_20160713.pdf	404	not found			redir		3		1	Apache/2.2.15 (CentOS)		00:05.881	iso-8859-1
http://wrc-rca.org/2016_BD/160912/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:04.727	utf-8
http://wrc-rca.org/download/agriculture/Agriculture/Agricultural%20Certificate%20of%20Inclusion%20Form%20(PDF).pdf	404	not found			Agricultural Certificate of Inclusion Forms		2		1	Apache/2.2.15 (CentOS)		00:01.497	utf-8
http://wrc-rca.org/2016_Exec/021716/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.803	utf-8
http://wrc-rca.org/2016_Exec/021716/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:04.555	utf-8
http://nrs.ucop.edu/reserves/box_springs/box_springs.htm	404	not found			Box Spring Reserve		2		1	Apache/2.2.29 (Unix) mod_wsgi/3.3 Python/2.7.5 mod_ssl/2.2.29 OpenSSL/0.9.8zg DAV/2 PHP/5.4.45		00:00.671	utf-8
http://wrc-rca.org/2016_Exec/061516/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.428	utf-8
http://wrc-rca.org/2016_Exec/061516/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.850	utf-8
http://wrc-rca.org/2016_Exec/061516/Agenda_Item_8_Staff_Report.pdf	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.834	utf-8
http://wrc-rca.org/2016_Exec/061516/Agenda_Item_9_Staff_Report.pdf	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.444	utf-8
http://wrc-rca.org/2016_Exec/031616/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:03.308	utf-8
http://wrc-rca.org/2016_Exec/031616/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.272	utf-8
http://wrc-rca.org/2016_Exec/042016/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.741	utf-8
http://wrc-rca.org/2016_Exec/042016/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.411	utf-8
http://wrc-rca.org/2016_BD/160307/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.179	utf-8
http://wrc-rca.org/download/forms_applications/style.css	404	not found					4		1	Apache/2.2.15 (CentOS)		00:06.364	
http://wrc-rca.org/download/getacro.gif	404	not found					4		1	Apache/2.2.15 (CentOS)		00:05.866	
http://wrc-rca.org/download/webimages/Footer_Contact.gif	404	not found			RCA Contact - Hours		4		6	Apache/2.2.15 (CentOS)		00:04.430	
http://wrc-rca.org/2016_Exec/012016/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.600	utf-8
http://wrc-rca.org/2016_Exec/012016/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.351	utf-8
http://wrc-rca.org/Fees/CPI%20FACTOR_07-01-16.pdf	404	not found			redir		3		1	Apache/2.2.15 (CentOS)		00:06.646	utf-8
http://wrc-rca.org/2016_BD/160104/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.897	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/Permit_Docs/Resolutions/Resolution%20No.%2016-015%20Amending%20Conflict%20of%20Interest%20Code.pdf	404	not found			<strong>Amending the Conflict of Interest Code Pursuant to the Political Reform Act of 1974</strong>		3		1			00:00.125	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/Permit_Docs/Resolutions/Resolution%20No.%2016-014%20Records%20Retention%20Policy%20and%20Schedule.pdf	404	not found			<strong>Adopting an Updated Records Retention Policy and Schedule and Repealing Resolution No. 08-012</strong>		3		1			00:00.187	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/Permit_Docs/Resolutions/Resolution%20No.%2016-003%20Fee%20Credit%20and%20Waiver%20Policy.pdf	404	not found			<strong>Revisiting the Fee Credit Waiver Policy Superseding and Replacing Resolution No. 05-05</strong>		3		1			00:00.172	utf-8
http://wrc-rca.org/2016_BD/160201/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.303	utf-8
http://wrc-rca.org/2016_BD/160201/14.1.jpg	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.334	utf-8
http://wrc-rca.org/2016_BD/160201/14.2.jpg	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.772	utf-8
http://wrc-rca.org/2016_BD/160404/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.959	utf-8
http://wrc-rca.org/2016_BD/160711/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.304	utf-8
http://wrc-rca.org/CANCELLATION%20NOTICE.docx	404	not found			<strong>View</strong>		3		1	Apache/2.2.15 (CentOS)		00:06.552	utf-8
http://wrc-rca.org/download/permit_docs/style.css	404	not found					4		2	Apache/2.2.15 (CentOS)		00:06.302	
http://wrc-rca.org/download/reports/annual_report/webimages/Footer_Contact.gif	404	not found			RCA Contact - Hours		6		7	Apache/2.2.15 (CentOS)		00:06.802	
http://wrc-rca.org/2016_Exec/081716/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.772	utf-8
http://wrc-rca.org/2016_Exec/081716/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:04.540	utf-8
http://wrc-rca.org/download/reports/annual_report/ConsSumReport/style.css	404	not found					6		1	Apache/2.2.15 (CentOS)		00:06.926	
http://rctlma.org/gis	404	not found			redir		7		1			00:00.094	
http://cnlm.org/cms	404	not found			redir		4		1	nginx		00:00.187	utf-8
http://wrc-rca.org/2016_Exec/051816/style.css	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.848	utf-8
http://wrc-rca.org/2016_Exec/051816/spacer.gif	404	not found					3		1	Apache/2.2.15 (CentOS)		00:05.741	utf-8
http://wrc-rca.org/2016_Exec/051816/Agenda_Item_9_Staff_Report.pdf	404	not found					3		1	Apache/2.2.15 (CentOS)		00:06.739	utf-8
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/style.css	404	not found					7		2	Apache/2.2.15 (CentOS)		00:05.834	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/spacer.gif	404	not found					7		2	Apache/2.2.15 (CentOS)		00:05.601	
http://wrc-rca.org/download/Archived%20Meetings/Executive/webimages/rca_logo_09092008.jpg	404	not found			RCA LOGO		7		5	Apache/2.2.15 (CentOS)		00:03.900	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/Agenda_Item_6_Staff_Report.pdf	404	not found			March 18, 2015		7		2	Apache/2.2.15 (CentOS)		00:06.147	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/Agenda_Item_7_Staff_Report.pdf	404	not found			Staff Report		7		2	Apache/2.2.15 (CentOS)		00:05.538	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/Agenda_Item_8_Staff_Report.pdf	404	not found			Staff Report		7		2	Apache/2.2.15 (CentOS)		00:06.115	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/Agenda_Item_9_Staff_Report.pdf	404	not found			<strong>Staff Report</strong>		7		2	Apache/2.2.15 (CentOS)		00:06.443	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/Agenda_Item_10_Staff_Report.pdf	404	not found			<strong>Staff Report</strong>		7		2	Apache/2.2.15 (CentOS)		00:06.958	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150415/Agenda_Item_11_Staff_Report.pdf	404	not found			<strong>Staff Report</strong>		7		2	Apache/2.2.15 (CentOS)		00:05.382	
http://wrc-rca.org/email/blank.gif	404	not found			redir		4		1	Apache/2.2.15 (CentOS)		00:01.856	utf-8
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150318/style.css	404	not found					7		1	Apache/2.2.15 (CentOS)		00:03.213	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150318/spacer.gif	404	not found					7		1	Apache/2.2.15 (CentOS)		00:05.647	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150318/Agenda_Item_6_Staff_Report.pdf	404	not found			February 18, 2015		7		1	Apache/2.2.15 (CentOS)		00:05.335	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150318/Agenda_Item_7_Staff_Report.pdf	404	not found			Staff Report		7		1	Apache/2.2.15 (CentOS)		00:06.021	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150318/Agenda_Item_9_Staff_Report.pdf	404	not found			<strong>Staff Report</strong>		7		1	Apache/2.2.15 (CentOS)		00:00.874	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150318/Agenda_Item_10_Staff_Report.pdf	404	not found			<strong></strong>		7		1	Apache/2.2.15 (CentOS)		00:06.131	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150121/style.css	404	not found					7		1	Apache/2.2.15 (CentOS)		00:00.858	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150121/spacer.gif	404	not found					7		1	Apache/2.2.15 (CentOS)		00:02.511	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150121/Agenda_Item_6_Staff_Report.pdf	404	not found			November 19, 2014		7		1	Apache/2.2.15 (CentOS)		00:06.069	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150121/Agenda_Item_8_Staff_Report.pdf	404	not found			Staff Report		7		1	Apache/2.2.15 (CentOS)		00:06.661	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150121/Agenda_Item_9_Staff_Report.pdf	404	not found					7		1	Apache/2.2.15 (CentOS)		00:06.084	
http://wrc-rca.org/download/reports/annual_report/2004/style.css	404	not found					6		1	Apache/2.2.15 (CentOS)		00:02.839	
http://wrc-rca.org/download/reports/annual_report/images/RCA_Logo.jpg	404	not found			RCA LOGO		6		1	Apache/2.2.15 (CentOS)		00:01.544	
http://wrc-rca.org/download/reports/annual_report/images/get_adobe_reader.gif	404	not found			Get Adobe Reader		6		1	Apache/2.2.15 (CentOS)		00:00.561	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/RCA_2004_Annual_Report.pdf	404	not found			Annual Report (16.1MB) (PDF format) 		6		1	Apache/2.2.15 (CentOS)		00:06.459	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/wrc_habitrak_report_gains_2004.pdf	404	not found			Project and Acquisition Gains during reporting period.		6		1	Apache/2.2.15 (CentOS)		00:04.477	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/wrc_habitrak_report_loss_2004.pdf	404	not found			Project Losses Report during reporting period.		6		1	Apache/2.2.15 (CentOS)		00:00.546	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/Habitat_veg_detail_gains_report_2004.pdf	404	not found			Habitat/Vegetation Gains Detail Report		6		1	Apache/2.2.15 (CentOS)		00:01.638	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/Habitat_veg_sum_gains_report_2004.pdf	404	not found			Habitat/Vegetations Gains Summary Report		6		1	Apache/2.2.15 (CentOS)		00:03.556	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/Habitat_veg_detail_loss_report_2004.pdf	404	not found			Habitat/Vegetation Loss Detail Report		6		1	Apache/2.2.15 (CentOS)		00:05.350	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/Habitat_veg_sum_loss_report_2004.pdf	404	not found			Habitat/Vegetation Loss Summary Report		6		1	Apache/2.2.15 (CentOS)		00:04.415	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStepUnits_Map_2004.pdf	404	not found			Rough Step Unit Index Map for 2004		6		1	Apache/2.2.15 (CentOS)		00:02.542	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep1_Map_2004.pdf	404	not found			WRC Rough Step Unit 1 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:01.716	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep2_Map_2004.pdf	404	not found			WRC Rough Step Unit 2 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:05.960	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep3_Map_2004.pdf	404	not found			WRC Rough Step Unit 3 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:02.340	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep4_Map_2004.pdf	404	not found			WRC Rough Step Unit 4 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:03.369	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep5_Map_2004.pdf	404	not found			WRC Rough Step Unit 5 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:05.475	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep6_Map_2004.pdf	404	not found			WRC Rough Step Unit 6 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:03.058	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep7_Map_2004.pdf	404	not found			WRC Rough Step Unit 7 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:05.819	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep8_Map_2004.pdf	404	not found			WRC Rough Step Unit 8 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:02.277	
http://wrc-rca.org/download/reports/annual_report/AnnualReport_2004/WRC_Habitrak_RoughStep9_Map_2004.pdf	404	not found			WRC Rough Step Unit 9 - Gains and Losses 2004		6		1	Apache/2.2.15 (CentOS)		00:02.948	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150218/style.css	404	not found					7		1	Apache/2.2.15 (CentOS)		00:05.507	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150218/spacer.gif	404	not found					7		1	Apache/2.2.15 (CentOS)		00:04.337	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150218/Agenda_Item_6_Staff_Report.pdf	404	not found			January 21, 2015		7		1	Apache/2.2.15 (CentOS)		00:04.056	
http://wrc-rca.org/download/Archived%20Meetings/Executive/2015/150218/Agenda_Item_10_Staff_Report.pdf	404	not found			<strong>Staff Report</strong>		7		1	Apache/2.2.15 (CentOS)		00:05.320	
